S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price,Nett Price ($),Area in Sqft,Type of Area,Floor Level,Unit Price in dollar psf,Date of Sale
82,PEBBLE BAY,TANJONG RHU ROAD,Condominium,15,RCR,99 yrs lease commencing from 1994,Resale,1,3300000,-,2756,Strata,01 to 05,1198,Sep-15
83,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 years leasehold,New Sale,1,672000,-,441,Strata,11 to 15,1523,Sep-15
84,HILLCREST ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 yrs lease commencing from 1975,Resale,1,1630000,-,1711,Strata,01 to 05,952,Sep-15
85,CENTRA HEIGHTS,SIMS AVENUE,Apartment,14,RCR,Freehold,Resale,1,610000,-,409,Strata,01 to 05,1491,Sep-15
86,RIVERBAY,MAR THOMA ROAD,Apartment,12,RCR,999 yrs lease commencing from 1882,Resale,1,790000,-,517,Strata,21 to 25,1529,Sep-15
87,BELLA VISTA,SOMMERVILLE ROAD,Apartment,13,OCR,Freehold,Resale,1,878000,-,797,Strata,01 to 05,1102,Sep-15
88,CHANCERY PARK,CHANCERY LANE,Condominium,11,CCR,Freehold,Resale,1,3420000,-,2347,Strata,01 to 05,1457,Sep-15
89,THOMSON 800,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,1500000,-,1432,Strata,01 to 05,1048,Sep-15
90,HAIG COURT,HAIG ROAD,Condominium,15,RCR,Freehold,Resale,1,1700000,-,1453,Strata,06 to 10,1170,Sep-15
91,EAST SIGNATURE,ELLIOT WALK,Apartment,15,OCR,Freehold,Resale,1,1188000,-,1012,Strata,01 to 05,1174,Sep-15
92,FERNWOOD TOWERS,FERNWOOD TERRACE,Condominium,15,OCR,Freehold,Resale,1,2300000,-,2497,Strata,11 to 15,921,Sep-15
93,THE HACIENDA,HACIENDA GROVE,Condominium,15,OCR,Freehold,Resale,1,2196000,-,2196,Strata,01 to 05,1000,Sep-15
94,# 1 SUITES,LORONG 20 GEYLANG,Apartment,14,RCR,Freehold,New Sale,1,729436,-,624,Strata,01 to 05,1168,Sep-15
95,REGAL COURT,KIM KEAT ROAD,Apartment,12,RCR,Freehold,Resale,1,960000,-,915,Strata,06 to 10,1049,Sep-15
96,SINGA HILLS,JALAN SINGA,Apartment,14,OCR,Freehold,New Sale,1,702810,-,463,Strata,01 to 05,1518,Sep-15
97,KALLANG RIVERSIDE,KAMPONG BUGIS,Apartment,12,RCR,Freehold,New Sale,1,1980710,-,958,Strata,06 to 10,2068,Sep-15
98,38 I SUITES,IPOH LANE,Apartment,15,RCR,Freehold,Resale,1,730000,-,495,Strata,06 to 10,1474,Sep-15
99,WING FONG MANSIONS,LORONG 14 GEYLANG,Apartment,14,RCR,Freehold,Resale,1,820000,-,1141,Strata,06 to 10,719,Sep-15
100,PAVILION 11,AKYAB ROAD,Condominium,11,CCR,Freehold,Resale,1,2200000,-,1485,Strata,06 to 10,1481,Sep-15
101,TREVISTA,LORONG 3 TOA PAYOH,Condominium,12,RCR,99 yrs lease commencing from 2008,Resale,1,2150000,-,1701,Strata,06 to 10,1264,Sep-15
102,368 THOMSON,THOMSON ROAD,Condominium,11,CCR,Freehold,Resale,1,2650000,-,1722,Strata,21 to 25,1539,Sep-15
103,JEWEL @ BUANGKOK,COMPASSVALE BOW,Condominium,19,OCR,99 years leasehold,New Sale,1,1271250,-,1130,Strata,01 to 05,1125,Sep-15
104,THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years leasehold,New Sale,1,1348776,-,1141,Strata,01 to 05,1182,Sep-15
105,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 years leasehold,New Sale,1,977600,-,904,Strata,11 to 15,1081,Sep-15
106,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,822000,-,657,Strata,06 to 10,1252,Sep-15
107,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,671000,-,495,Strata,11 to 15,1355,Sep-15
108,BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years leasehold,New Sale,1,667000,-,517,Strata,06 to 10,1291,Sep-15
